Date,Open,High,Low,Close,Volume,Adj Close
2016-07-29,124.650002,125.839996,123.709999,123.940002,35058800,123.940002
2016-07-28,127.519997,128.330002,123.629997,125.00,78955800,125.00
2016-07-27,122.419998,125.00,121.510002,123.339996,52654200,123.339996
2016-07-26,122.00,122.07,120.75,121.220001,17612000,121.220001
2016-07-25,121.389999,121.849998,117.779999,121.629997,18487400,121.629997
2016-07-22,119.900002,121.010002,119.309998,121.00,18422400,121.00
2016-07-21,121.919998,122.099998,120.25,120.610001,17801700,120.610001
2016-07-20,121.25,122.199997,120.559998,121.919998,20046500,121.919998
2016-07-19,118.989998,120.849998,118.660004,120.610001,21541300,120.610001
2016-07-18,117.32,119.610001,116.889999,119.370003,20868400,119.370003
2016-07-15,117.739998,118.279999,116.580002,116.860001,16646000,116.860001
2016-07-14,117.50,117.639999,116.699997,117.290001,14579700,117.290001
2016-07-13,118.389999,118.400002,116.68,116.779999,16207700,116.779999
2016-07-12,118.629997,118.720001,117.57,117.93,15217700,117.93
2016-07-11,117.709999,118.699997,117.50,117.870003,17711600,117.870003
2016-07-08,116.43,117.50,115.849998,117.239998,18142600,117.239998
2016-07-07,116.629997,116.970001,115.360001,115.849998,16630200,115.849998
2016-07-06,113.360001,116.790001,112.970001,116.699997,24337600,116.699997
2016-07-05,113.940002,114.199997,112.970001,114.199997,14207000,114.199997
2016-07-01,114.199997,115.129997,113.809998,114.190002,14980000,114.190002
2016-06-30,114.669998,115.18,113.669998,114.279999,23192700,114.279999
2016-06-29,113.370003,114.25,113.040001,114.160004,20968300,114.160004
2016-06-28,110.629997,112.75,110.550003,112.699997,26813800,112.699997
2016-06-27,111.57,111.57,108.230003,108.970001,36130400,108.970001
2016-06-24,111.010002,113.68,111.00,112.080002,40643100,112.080002
2016-06-23,114.370003,115.089996,113.540001,115.080002,16176900,115.080002
2016-06-22,114.650002,114.739998,113.610001,113.910004,14846300,113.910004
2016-06-21,114.120003,115.209999,113.970001,114.379997,19166300,114.379997
2016-06-20,113.769997,114.720001,112.75,113.370003,20785400,113.370003
2016-06-17,114.419998,114.43,112.559998,113.019997,24644300,113.019997
2016-06-16,113.870003,114.50,112.940002,114.389999,19236300,114.389999
2016-06-15,115.300003,115.440002,114.07,114.599998,19819400,114.599998
2016-06-14,114.07,114.949997,113.580002,114.940002,17618500,114.940002
2016-06-13,115.00,115.480003,113.309998,113.949997,31718200,113.949997
2016-06-10,117.540001,118.110001,116.260002,116.620003,18510800,116.620003
2016-06-09,118.129997,118.68,117.709999,118.559998,13859200,118.559998
2016-06-08,117.760002,118.599998,117.269997,118.389999,14505600,118.389999
2016-06-07,119.239998,119.300003,117.669998,117.760002,17103000,117.760002
2016-06-06,118.620003,119.43,118.360001,118.790001,12744700,118.790001
2016-06-03,118.980003,118.980003,117.860001,118.470001,14135100,118.470001
2016-06-02,118.690002,119.440002,118.220001,118.93,13228300,118.93
2016-06-01,118.50,119.080002,117.82,118.779999,15029500,118.779999
2016-05-31,119.459999,120.099998,118.120003,118.809998,23547600,118.809998
2016-05-27,119.559998,119.849998,119.010002,119.379997,13464400,119.379997
2016-05-26,118.239998,119.760002,117.919998,119.470001,18481300,119.470001
2016-05-25,118.129997,118.669998,117.379997,117.889999,20019800,117.889999
2016-05-24,116.239998,117.730003,116.120003,117.699997,20183600,117.699997
2016-05-23,117.419998,117.599998,115.940002,115.970001,20441000,115.970001
2016-05-20,116.959999,117.989998,116.949997,117.349998,18944800,117.349998
2016-05-19,117.050003,117.489998,115.879997,116.809998,20544100,116.809998
2016-05-18,116.800003,118.269997,116.730003,117.650002,21642300,117.650002
2016-05-17,118.82,119.010002,117.199997,117.349998,21328600,117.349998
2016-05-16,119.379997,119.610001,117.349998,118.669998,31247800,118.669998
2016-05-13,120.379997,120.639999,119.68,119.809998,18124300,119.809998
2016-05-12,119.980003,120.839996,118.900002,120.279999,22035500,120.279999
2016-05-11,120.410004,121.080002,119.419998,119.519997,22038400,119.519997
2016-05-10,119.620003,120.50,119.00,120.50,23220000,120.50
2016-05-09,119.540001,120.279999,118.900002,119.239998,21138100,119.239998
2016-05-06,117.160004,119.639999,117.110001,119.489998,26216200,119.489998
2016-05-05,118.040001,118.980003,117.25,117.809998,22056700,117.809998
2016-05-04,116.610001,118.300003,116.57,118.059998,23448400,118.059998
2016-05-03,117.519997,118.160004,117.019997,117.43,24117500,117.43
2016-05-02,117.830002,118.730003,116.57,118.57,28095200,118.57
2016-04-29,116.82,117.839996,115.839996,117.580002,37140600,117.580002
2016-04-28,119.580002,120.790001,116.230003,116.730003,87110100,116.730003
2016-04-27,107.940002,108.940002,106.309998,108.889999,52213100,108.889999
2016-04-26,110.489998,110.50,108.150002,108.760002,22521500,108.760002
